Id,R_2026_27,Nome_2026_27,Squadra_2026_27,provenance_2025_26,confidence,evidence
6415,P,Palmisani,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
4952,D,Monterisi,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7469,D,Bracaglia,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6238,D,Oyono A.,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7467,D,Calvani,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7473,C,Cichella,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7474,C,Koutsoupias,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7472,C,Calò,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6530,A,Ghedjemis,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
5436,A,Raimondo,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6204,A,Kvernadze,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6248,P,Stankovic F.,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6671,P,Grandi,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
5695,D,Haps,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6892,D,Schingtienne,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6673,D,Sverko,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
5507,C,Busio,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6994,C,Perez K.,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
526,C,Duncan,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
7481,C,Dagasso,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6904,A,Yeboah J.,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
