Id,R_2026_27,Nome_2026_27,Squadra_2026_27,provenance_2025_26,confidence,evidence
6415,P,Palmisani,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
4952,D,Monterisi,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7469,D,Bracaglia,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6238,D,Oyono A.,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7467,D,Calvani,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7473,C,Cichella,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7474,C,Koutsoupias,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
7472,C,Calò,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6530,A,Ghedjemis,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
5436,A,Raimondo,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6204,A,Kvernadze,Frosinone,SERIE_B_2025_26,high,FBref Frosinone 2025/26 Serie B stats
6248,P,Stankovic F.,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6671,P,Grandi,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
5695,D,Haps,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6892,D,Schingtienne,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6673,D,Sverko,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
5507,C,Busio,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6994,C,Perez K.,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
526,C,Duncan,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
7481,C,Dagasso,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6904,A,Yeboah J.,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
4387,A,Adorante,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
7408,A,Lisman,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
7482,A,Lauberbach,Venezia,SERIE_B_2025_26,high,Venezia FC official 2025/26 squad/call-ups
6682,P,Pizzignacco,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
7475,P,Strajnar,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
2115,D,Delli Carri,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
6659,D,Lucchesi,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
5838,D,Birindelli,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
4925,D,Carboni A.,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
5878,C,Colpani,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
2741,C,Pessina,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
7477,C,Colombo L.,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
5880,C,Ciurria,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
5882,A,Mota,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
383,A,Petagna,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
4485,P,Thiam,Monza,SERIE_B_2025_26,high,AC Monza official 2025/26 squad/call-ups
6320,D,Doekhi,Lazio,FOREIGN_LEAGUE_2025_26,high,DFB Datencenter: Union Berlin Bundesliga 2025/26
4817,D,Pedraza,Lazio,FOREIGN_LEAGUE_2025_26,high,LaLiga official: Villarreal 2025/26
7078,C,Mastantuono,Fiorentina,FOREIGN_LEAGUE_2025_26,high,Real Madrid official / 2026 loan reporting: Real Madrid 2025/26
6783,C,Unai Gomez,Udinese,FOREIGN_LEAGUE_2025_26,high,Udinese official signing from Athletic Club
4260,C,Winks,Cagliari,FOREIGN_LEAGUE_2025_26,high,Cagliari and Leicester official signing from Leicester City
6397,A,Ramos G.,Milan,FOREIGN_LEAGUE_2025_26,high,AC Milan official signing from Paris Saint-Germain
7529,D,Koulierakis,Roma,FOREIGN_LEAGUE_2025_26,high,VfL Wolfsburg official/news confirms Wolfsburg 2025/26
6727,D,Couto,Como,FOREIGN_LEAGUE_2025_26,high,2026 transfer reporting confirms Borussia Dortmund 2025/26
2514,D,Stones,Inter,FOREIGN_LEAGUE_2025_26,high,Premier League official Manchester City 2025/26 squad
5365,D,Dragusin,Fiorentina,FOREIGN_LEAGUE_2025_26,high,Tottenham Hotspur official: 2025/26 squad and 10 appearances after return
5951,A,Kolo Muani,Juventus,FOREIGN_LEAGUE_2025_26,high,Tottenham Hotspur official: season-long loan from PSG for 2025/26
